{'sa': 398, 'k': 0.001, 'nc': 410, 'it': 0, 'n': 100}
{'sa': 810, 'k': 0.001, 'nc': 798, 'it': 0, 'n': 200}
{'sa': 1126, 'k': 0.001, 'nc': 1282, 'it': 0, 'n': 300}
{'sa': 1468, 'k': 0.001, 'nc': 1740, 'it': 0, 'n': 400}
{'sa': 1816, 'k': 0.001, 'nc': 2192, 'it': 0, 'n': 500}
{'sa': 2046, 'k': 0.001, 'nc': 2762, 'it': 0, 'n': 600}
{'sa': 2346, 'k': 0.001, 'nc': 3262, 'it': 0, 'n': 700}
{'sa': 2640, 'k': 0.001, 'nc': 3768, 'it': 0, 'n': 800}
{'sa': 2960, 'k': 0.001, 'nc': 4248, 'it': 0, 'n': 900}
{'sa': 3316, 'k': 0.001, 'nc': 4692, 'it': 0, 'n': 1000}
{'sa': 3540, 'k': 0.001, 'nc': 5268, 'it': 0, 'n': 1100}
{'sa': 3840, 'k': 0.001, 'nc': 5768, 'it': 0, 'n': 1200}
{'sa': 4152, 'k': 0.001, 'nc': 6256, 'it': 0, 'n': 1300}
{'sa': 4474, 'k': 0.001, 'nc': 6734, 'it': 0, 'n': 1400}
{'sa': 4744, 'k': 0.001, 'nc': 7264, 'it': 0, 'n': 1500}
{'sa': 5030, 'k': 0.001, 'nc': 7778, 'it': 0, 'n': 1600}
{'sa': 5248, 'k': 0.001, 'nc': 8360, 'it': 0, 'n': 1700}
{'sa': 5566, 'k': 0.001, 'nc': 8842, 'it': 0, 'n': 1800}
{'sa': 5844, 'k': 0.001, 'nc': 9364, 'it': 0, 'n': 1900}
{'sa': 6194, 'k': 0.001, 'nc': 9814, 'it': 0, 'n': 2000}
{'sa': 6492, 'k': 0.001, 'nc': 10316, 'it': 0, 'n': 2100}
{'sa': 6728, 'k': 0.001, 'nc': 10880, 'it': 0, 'n': 2200}
{'sa': 7052, 'k': 0.001, 'nc': 11356, 'it': 0, 'n': 2300}
{'sa': 7384, 'k': 0.001, 'nc': 11824, 'it': 0, 'n': 2400}
{'sa': 7644, 'k': 0.001, 'nc': 12364, 'it': 0, 'n': 2500}
{'sa': 7938, 'k': 0.001, 'nc': 12870, 'it': 0, 'n': 2600}
{'sa': 8238, 'k': 0.001, 'nc': 13370, 'it': 0, 'n': 2700}
{'sa': 8536, 'k': 0.001, 'nc': 13872, 'it': 0, 'n': 2800}
{'sa': 8860, 'k': 0.001, 'nc': 14348, 'it': 0, 'n': 2900}
{'sa': 9122, 'k': 0.001, 'nc': 14886, 'it': 0, 'n': 3000}
{'sa': 9430, 'k': 0.001, 'nc': 15378, 'it': 0, 'n': 3100}
{'sa': 9688, 'k': 0.001, 'nc': 15920, 'it': 0, 'n': 3200}
{'sa': 10002, 'k': 0.001, 'nc': 16406, 'it': 0, 'n': 3300}
{'sa': 10232, 'k': 0.001, 'nc': 16976, 'it': 0, 'n': 3400}
{'sa': 10570, 'k': 0.001, 'nc': 17438, 'it': 0, 'n': 3500}
{'sa': 10826, 'k': 0.001, 'nc': 17982, 'it': 0, 'n': 3600}
{'sa': 11100, 'k': 0.001, 'nc': 18508, 'it': 0, 'n': 3700}
{'sa': 11350, 'k': 0.001, 'nc': 19058, 'it': 0, 'n': 3800}
{'sa': 11578, 'k': 0.001, 'nc': 19630, 'it': 0, 'n': 3900}
{'sa': 11862, 'k': 0.001, 'nc': 20146, 'it': 0, 'n': 4000}
{'sa': 12172, 'k': 0.001, 'nc': 20636, 'it': 0, 'n': 4100}
{'sa': 12462, 'k': 0.001, 'nc': 21146, 'it': 0, 'n': 4200}
{'sa': 12732, 'k': 0.001, 'nc': 21676, 'it': 0, 'n': 4300}
{'sa': 12982, 'k': 0.001, 'nc': 22226, 'it': 0, 'n': 4400}
{'sa': 13324, 'k': 0.001, 'nc': 22684, 'it': 0, 'n': 4500}
{'sa': 13586, 'k': 0.001, 'nc': 23222, 'it': 0, 'n': 4600}
{'sa': 13924, 'k': 0.001, 'nc': 23684, 'it': 0, 'n': 4700}
{'sa': 14190, 'k': 0.001, 'nc': 24218, 'it': 0, 'n': 4800}
{'sa': 14518, 'k': 0.001, 'nc': 24690, 'it': 0, 'n': 4900}
{'sa': 14784, 'k': 0.001, 'nc': 25224, 'it': 0, 'n': 5000}
{'sa': 14990, 'k': 0.001, 'nc': 25818, 'it': 0, 'n': 5100}
{'sa': 15296, 'k': 0.001, 'nc': 26312, 'it': 0, 'n': 5200}
{'sa': 15530, 'k': 0.001, 'nc': 26878, 'it': 0, 'n': 5300}
{'sa': 15790, 'k': 0.001, 'nc': 27418, 'it': 0, 'n': 5400}
{'sa': 16034, 'k': 0.001, 'nc': 27974, 'it': 0, 'n': 5500}
{'sa': 16358, 'k': 0.001, 'nc': 28450, 'it': 0, 'n': 5600}
{'sa': 16662, 'k': 0.001, 'nc': 28946, 'it': 0, 'n': 5700}
{'sa': 16950, 'k': 0.001, 'nc': 29458, 'it': 0, 'n': 5800}
{'sa': 17260, 'k': 0.001, 'nc': 29948, 'it': 0, 'n': 5900}
{'sa': 17532, 'k': 0.001, 'nc': 30476, 'it': 0, 'n': 6000}
{'sa': 17816, 'k': 0.001, 'nc': 30992, 'it': 0, 'n': 6100}
{'sa': 18076, 'k': 0.001, 'nc': 31532, 'it': 0, 'n': 6200}
{'sa': 18328, 'k': 0.001, 'nc': 32080, 'it': 0, 'n': 6300}
{'sa': 18594, 'k': 0.001, 'nc': 32614, 'it': 0, 'n': 6400}
{'sa': 18880, 'k': 0.001, 'nc': 33128, 'it': 0, 'n': 6500}
{'sa': 19224, 'k': 0.001, 'nc': 33584, 'it': 0, 'n': 6600}
{'sa': 19540, 'k': 0.001, 'nc': 34068, 'it': 0, 'n': 6700}
{'sa': 19842, 'k': 0.001, 'nc': 34566, 'it': 0, 'n': 6800}
{'sa': 20118, 'k': 0.001, 'nc': 35090, 'it': 0, 'n': 6900}
{'sa': 20412, 'k': 0.001, 'nc': 35596, 'it': 0, 'n': 7000}
{'sa': 20708, 'k': 0.001, 'nc': 36100, 'it': 0, 'n': 7100}
{'sa': 20964, 'k': 0.001, 'nc': 36644, 'it': 0, 'n': 7200}
{'sa': 21204, 'k': 0.001, 'nc': 37204, 'it': 0, 'n': 7300}
{'sa': 21514, 'k': 0.001, 'nc': 37694, 'it': 0, 'n': 7400}
{'sa': 21804, 'k': 0.001, 'nc': 38204, 'it': 0, 'n': 7500}
{'sa': 22098, 'k': 0.001, 'nc': 38710, 'it': 0, 'n': 7600}
{'sa': 22322, 'k': 0.001, 'nc': 39286, 'it': 0, 'n': 7700}
{'sa': 22614, 'k': 0.001, 'nc': 39794, 'it': 0, 'n': 7800}
{'sa': 22866, 'k': 0.001, 'nc': 40342, 'it': 0, 'n': 7900}
{'sa': 23176, 'k': 0.001, 'nc': 40832, 'it': 0, 'n': 8000}
{'sa': 23474, 'k': 0.001, 'nc': 41334, 'it': 0, 'n': 8100}
{'sa': 23714, 'k': 0.001, 'nc': 41894, 'it': 0, 'n': 8200}
{'sa': 23934, 'k': 0.001, 'nc': 42474, 'it': 0, 'n': 8300}
{'sa': 24256, 'k': 0.001, 'nc': 42952, 'it': 0, 'n': 8400}
{'sa': 24502, 'k': 0.001, 'nc': 43506, 'it': 0, 'n': 8500}
{'sa': 24768, 'k': 0.001, 'nc': 44040, 'it': 0, 'n': 8600}
{'sa': 25028, 'k': 0.001, 'nc': 44580, 'it': 0, 'n': 8700}
{'sa': 25384, 'k': 0.001, 'nc': 45024, 'it': 0, 'n': 8800}
{'sa': 25640, 'k': 0.001, 'nc': 45568, 'it': 0, 'n': 8900}
{'sa': 25884, 'k': 0.001, 'nc': 46124, 'it': 0, 'n': 9000}
{'sa': 26132, 'k': 0.001, 'nc': 46676, 'it': 0, 'n': 9100}
{'sa': 26418, 'k': 0.001, 'nc': 47190, 'it': 0, 'n': 9200}
{'sa': 26704, 'k': 0.001, 'nc': 47704, 'it': 0, 'n': 9300}
{'sa': 26984, 'k': 0.001, 'nc': 48224, 'it': 0, 'n': 9400}
{'sa': 27280, 'k': 0.001, 'nc': 48728, 'it': 0, 'n': 9500}
{'sa': 27522, 'k': 0.001, 'nc': 49286, 'it': 0, 'n': 9600}
