{'sa': 434, 'k': 0.04226318, 'nc': 374, 'it': 0, 'n': 100}
{'sa': 860, 'k': 0.04226318, 'nc': 748, 'it': 0, 'n': 200}
{'sa': 1292, 'k': 0.04226318, 'nc': 1116, 'it': 0, 'n': 300}
{'sa': 1710, 'k': 0.04226318, 'nc': 1498, 'it': 0, 'n': 400}
{'sa': 2144, 'k': 0.04226318, 'nc': 1864, 'it': 0, 'n': 500}
{'sa': 2542, 'k': 0.04226318, 'nc': 2266, 'it': 0, 'n': 600}
{'sa': 2986, 'k': 0.04226318, 'nc': 2622, 'it': 0, 'n': 700}
{'sa': 3366, 'k': 0.04226318, 'nc': 3042, 'it': 0, 'n': 800}
{'sa': 3778, 'k': 0.04226318, 'nc': 3430, 'it': 0, 'n': 900}
{'sa': 4198, 'k': 0.04226318, 'nc': 3810, 'it': 0, 'n': 1000}
{'sa': 4620, 'k': 0.04226318, 'nc': 4188, 'it': 0, 'n': 1100}
{'sa': 5036, 'k': 0.04226318, 'nc': 4572, 'it': 0, 'n': 1200}
{'sa': 5454, 'k': 0.04226318, 'nc': 4954, 'it': 0, 'n': 1300}
{'sa': 5864, 'k': 0.04226318, 'nc': 5344, 'it': 0, 'n': 1400}
{'sa': 6264, 'k': 0.04226318, 'nc': 5744, 'it': 0, 'n': 1500}
{'sa': 6694, 'k': 0.04226318, 'nc': 6114, 'it': 0, 'n': 1600}
{'sa': 7124, 'k': 0.04226318, 'nc': 6484, 'it': 0, 'n': 1700}
{'sa': 7542, 'k': 0.04226318, 'nc': 6866, 'it': 0, 'n': 1800}
{'sa': 7950, 'k': 0.04226318, 'nc': 7258, 'it': 0, 'n': 1900}
{'sa': 8362, 'k': 0.04226318, 'nc': 7646, 'it': 0, 'n': 2000}
{'sa': 8776, 'k': 0.04226318, 'nc': 8032, 'it': 0, 'n': 2100}
{'sa': 9168, 'k': 0.04226318, 'nc': 8440, 'it': 0, 'n': 2200}
{'sa': 9584, 'k': 0.04226318, 'nc': 8824, 'it': 0, 'n': 2300}
{'sa': 9976, 'k': 0.04226318, 'nc': 9232, 'it': 0, 'n': 2400}
{'sa': 10384, 'k': 0.04226318, 'nc': 9624, 'it': 0, 'n': 2500}
{'sa': 10794, 'k': 0.04226318, 'nc': 10014, 'it': 0, 'n': 2600}
{'sa': 11240, 'k': 0.04226318, 'nc': 10368, 'it': 0, 'n': 2700}
{'sa': 11684, 'k': 0.04226318, 'nc': 10724, 'it': 0, 'n': 2800}
{'sa': 12108, 'k': 0.04226318, 'nc': 11100, 'it': 0, 'n': 2900}
{'sa': 12500, 'k': 0.04226318, 'nc': 11508, 'it': 0, 'n': 3000}
{'sa': 12928, 'k': 0.04226318, 'nc': 11880, 'it': 0, 'n': 3100}
{'sa': 13350, 'k': 0.04226318, 'nc': 12258, 'it': 0, 'n': 3200}
{'sa': 13734, 'k': 0.04226318, 'nc': 12674, 'it': 0, 'n': 3300}
{'sa': 14176, 'k': 0.04226318, 'nc': 13032, 'it': 0, 'n': 3400}
{'sa': 14582, 'k': 0.04226318, 'nc': 13426, 'it': 0, 'n': 3500}
{'sa': 14934, 'k': 0.04226318, 'nc': 13874, 'it': 0, 'n': 3600}
{'sa': 15306, 'k': 0.04226318, 'nc': 14302, 'it': 0, 'n': 3700}
{'sa': 15736, 'k': 0.04226318, 'nc': 14672, 'it': 0, 'n': 3800}
{'sa': 16136, 'k': 0.04226318, 'nc': 15072, 'it': 0, 'n': 3900}
{'sa': 16562, 'k': 0.04226318, 'nc': 15446, 'it': 0, 'n': 4000}
{'sa': 16994, 'k': 0.04226318, 'nc': 15814, 'it': 0, 'n': 4100}
{'sa': 17392, 'k': 0.04226318, 'nc': 16216, 'it': 0, 'n': 4200}
{'sa': 17778, 'k': 0.04226318, 'nc': 16630, 'it': 0, 'n': 4300}
{'sa': 18230, 'k': 0.04226318, 'nc': 16978, 'it': 0, 'n': 4400}
{'sa': 18618, 'k': 0.04226318, 'nc': 17390, 'it': 0, 'n': 4500}
{'sa': 18990, 'k': 0.04226318, 'nc': 17818, 'it': 0, 'n': 4600}
{'sa': 19388, 'k': 0.04226318, 'nc': 18220, 'it': 0, 'n': 4700}
{'sa': 19822, 'k': 0.04226318, 'nc': 18586, 'it': 0, 'n': 4800}
{'sa': 20180, 'k': 0.04226318, 'nc': 19028, 'it': 0, 'n': 4900}
{'sa': 20582, 'k': 0.04226318, 'nc': 19426, 'it': 0, 'n': 5000}
{'sa': 21000, 'k': 0.04226318, 'nc': 19808, 'it': 0, 'n': 5100}
{'sa': 21396, 'k': 0.04226318, 'nc': 20212, 'it': 0, 'n': 5200}
{'sa': 21784, 'k': 0.04226318, 'nc': 20624, 'it': 0, 'n': 5300}
{'sa': 22176, 'k': 0.04226318, 'nc': 21032, 'it': 0, 'n': 5400}
{'sa': 22578, 'k': 0.04226318, 'nc': 21430, 'it': 0, 'n': 5500}
{'sa': 22998, 'k': 0.04226318, 'nc': 21810, 'it': 0, 'n': 5600}
{'sa': 23418, 'k': 0.04226318, 'nc': 22190, 'it': 0, 'n': 5700}
{'sa': 23848, 'k': 0.04226318, 'nc': 22560, 'it': 0, 'n': 5800}
{'sa': 24264, 'k': 0.04226318, 'nc': 22944, 'it': 0, 'n': 5900}
{'sa': 24680, 'k': 0.04226318, 'nc': 23328, 'it': 0, 'n': 6000}
{'sa': 25088, 'k': 0.04226318, 'nc': 23720, 'it': 0, 'n': 6100}
{'sa': 25526, 'k': 0.04226318, 'nc': 24082, 'it': 0, 'n': 6200}
{'sa': 25934, 'k': 0.04226318, 'nc': 24474, 'it': 0, 'n': 6300}
{'sa': 26358, 'k': 0.04226318, 'nc': 24850, 'it': 0, 'n': 6400}
{'sa': 26758, 'k': 0.04226318, 'nc': 25250, 'it': 0, 'n': 6500}
{'sa': 27200, 'k': 0.04226318, 'nc': 25608, 'it': 0, 'n': 6600}
{'sa': 27630, 'k': 0.04226318, 'nc': 25978, 'it': 0, 'n': 6700}
{'sa': 28056, 'k': 0.04226318, 'nc': 26352, 'it': 0, 'n': 6800}
{'sa': 28476, 'k': 0.04226318, 'nc': 26732, 'it': 0, 'n': 6900}
{'sa': 28916, 'k': 0.04226318, 'nc': 27092, 'it': 0, 'n': 7000}
{'sa': 29346, 'k': 0.04226318, 'nc': 27462, 'it': 0, 'n': 7100}
