{'sa': 394, 'k': 0.025500005, 'nc': 414, 'it': 0, 'n': 100}
{'sa': 798, 'k': 0.025500005, 'nc': 810, 'it': 0, 'n': 200}
{'sa': 1166, 'k': 0.025500005, 'nc': 1242, 'it': 0, 'n': 300}
{'sa': 1556, 'k': 0.025500005, 'nc': 1652, 'it': 0, 'n': 400}
{'sa': 1942, 'k': 0.025500005, 'nc': 2066, 'it': 0, 'n': 500}
{'sa': 2390, 'k': 0.025500005, 'nc': 2418, 'it': 0, 'n': 600}
{'sa': 2766, 'k': 0.025500005, 'nc': 2842, 'it': 0, 'n': 700}
{'sa': 3130, 'k': 0.025500005, 'nc': 3278, 'it': 0, 'n': 800}
{'sa': 3482, 'k': 0.025500005, 'nc': 3726, 'it': 0, 'n': 900}
{'sa': 3814, 'k': 0.025500005, 'nc': 4194, 'it': 0, 'n': 1000}
{'sa': 4202, 'k': 0.025500005, 'nc': 4606, 'it': 0, 'n': 1100}
{'sa': 4614, 'k': 0.025500005, 'nc': 4994, 'it': 0, 'n': 1200}
{'sa': 5016, 'k': 0.025500005, 'nc': 5392, 'it': 0, 'n': 1300}
{'sa': 5386, 'k': 0.025500005, 'nc': 5822, 'it': 0, 'n': 1400}
{'sa': 5762, 'k': 0.025500005, 'nc': 6246, 'it': 0, 'n': 1500}
{'sa': 6176, 'k': 0.025500005, 'nc': 6632, 'it': 0, 'n': 1600}
{'sa': 6536, 'k': 0.025500005, 'nc': 7072, 'it': 0, 'n': 1700}
{'sa': 6898, 'k': 0.025500005, 'nc': 7510, 'it': 0, 'n': 1800}
{'sa': 7294, 'k': 0.025500005, 'nc': 7914, 'it': 0, 'n': 1900}
{'sa': 7628, 'k': 0.025500005, 'nc': 8380, 'it': 0, 'n': 2000}
{'sa': 7986, 'k': 0.025500005, 'nc': 8822, 'it': 0, 'n': 2100}
{'sa': 8364, 'k': 0.025500005, 'nc': 9244, 'it': 0, 'n': 2200}
{'sa': 8702, 'k': 0.025500005, 'nc': 9706, 'it': 0, 'n': 2300}
{'sa': 9066, 'k': 0.025500005, 'nc': 10142, 'it': 0, 'n': 2400}
{'sa': 9404, 'k': 0.025500005, 'nc': 10604, 'it': 0, 'n': 2500}
{'sa': 9796, 'k': 0.025500005, 'nc': 11012, 'it': 0, 'n': 2600}
{'sa': 10160, 'k': 0.025500005, 'nc': 11448, 'it': 0, 'n': 2700}
{'sa': 10534, 'k': 0.025500005, 'nc': 11874, 'it': 0, 'n': 2800}
