{'sa': 422, 'k': 0.0113158, 'nc': 386, 'it': 0, 'n': 100}
{'sa': 802, 'k': 0.0113158, 'nc': 806, 'it': 0, 'n': 200}
{'sa': 1106, 'k': 0.0113158, 'nc': 1302, 'it': 0, 'n': 300}
{'sa': 1494, 'k': 0.0113158, 'nc': 1714, 'it': 0, 'n': 400}
{'sa': 1840, 'k': 0.0113158, 'nc': 2168, 'it': 0, 'n': 500}
{'sa': 2214, 'k': 0.0113158, 'nc': 2594, 'it': 0, 'n': 600}
{'sa': 2534, 'k': 0.0113158, 'nc': 3074, 'it': 0, 'n': 700}
{'sa': 2878, 'k': 0.0113158, 'nc': 3530, 'it': 0, 'n': 800}
{'sa': 3208, 'k': 0.0113158, 'nc': 4000, 'it': 0, 'n': 900}
{'sa': 3532, 'k': 0.0113158, 'nc': 4476, 'it': 0, 'n': 1000}
{'sa': 3840, 'k': 0.0113158, 'nc': 4968, 'it': 0, 'n': 1100}
{'sa': 4156, 'k': 0.0113158, 'nc': 5452, 'it': 0, 'n': 1200}
{'sa': 4490, 'k': 0.0113158, 'nc': 5918, 'it': 0, 'n': 1300}
{'sa': 4834, 'k': 0.0113158, 'nc': 6374, 'it': 0, 'n': 1400}
{'sa': 5186, 'k': 0.0113158, 'nc': 6822, 'it': 0, 'n': 1500}
{'sa': 5522, 'k': 0.0113158, 'nc': 7286, 'it': 0, 'n': 1600}
{'sa': 5846, 'k': 0.0113158, 'nc': 7762, 'it': 0, 'n': 1700}
{'sa': 6204, 'k': 0.0113158, 'nc': 8204, 'it': 0, 'n': 1800}
{'sa': 6562, 'k': 0.0113158, 'nc': 8646, 'it': 0, 'n': 1900}
{'sa': 6880, 'k': 0.0113158, 'nc': 9128, 'it': 0, 'n': 2000}
{'sa': 7192, 'k': 0.0113158, 'nc': 9616, 'it': 0, 'n': 2100}
{'sa': 7512, 'k': 0.0113158, 'nc': 10096, 'it': 0, 'n': 2200}
{'sa': 7822, 'k': 0.0113158, 'nc': 10586, 'it': 0, 'n': 2300}
{'sa': 8128, 'k': 0.0113158, 'nc': 11080, 'it': 0, 'n': 2400}
{'sa': 8442, 'k': 0.0113158, 'nc': 11566, 'it': 0, 'n': 2500}
{'sa': 8800, 'k': 0.0113158, 'nc': 12008, 'it': 0, 'n': 2600}
{'sa': 9056, 'k': 0.0113158, 'nc': 12552, 'it': 0, 'n': 2700}
{'sa': 9342, 'k': 0.0113158, 'nc': 13066, 'it': 0, 'n': 2800}
{'sa': 9658, 'k': 0.0113158, 'nc': 13550, 'it': 0, 'n': 2900}
{'sa': 9976, 'k': 0.0113158, 'nc': 14032, 'it': 0, 'n': 3000}
{'sa': 10308, 'k': 0.0113158, 'nc': 14500, 'it': 0, 'n': 3100}
{'sa': 10720, 'k': 0.0113158, 'nc': 14888, 'it': 0, 'n': 3200}
{'sa': 11084, 'k': 0.0113158, 'nc': 15324, 'it': 0, 'n': 3300}
{'sa': 11404, 'k': 0.0113158, 'nc': 15804, 'it': 0, 'n': 3400}
{'sa': 11720, 'k': 0.0113158, 'nc': 16288, 'it': 0, 'n': 3500}
{'sa': 12016, 'k': 0.0113158, 'nc': 16792, 'it': 0, 'n': 3600}
{'sa': 12392, 'k': 0.0113158, 'nc': 17216, 'it': 0, 'n': 3700}
{'sa': 12738, 'k': 0.0113158, 'nc': 17670, 'it': 0, 'n': 3800}
{'sa': 13030, 'k': 0.0113158, 'nc': 18178, 'it': 0, 'n': 3900}
{'sa': 13426, 'k': 0.0113158, 'nc': 18582, 'it': 0, 'n': 4000}
{'sa': 13738, 'k': 0.0113158, 'nc': 19070, 'it': 0, 'n': 4100}
{'sa': 14056, 'k': 0.0113158, 'nc': 19552, 'it': 0, 'n': 4200}
{'sa': 14416, 'k': 0.0113158, 'nc': 19992, 'it': 0, 'n': 4300}
{'sa': 14774, 'k': 0.0113158, 'nc': 20434, 'it': 0, 'n': 4400}
{'sa': 15122, 'k': 0.0113158, 'nc': 20886, 'it': 0, 'n': 4500}
{'sa': 15470, 'k': 0.0113158, 'nc': 21338, 'it': 0, 'n': 4600}
{'sa': 15800, 'k': 0.0113158, 'nc': 21808, 'it': 0, 'n': 4700}
{'sa': 16158, 'k': 0.0113158, 'nc': 22250, 'it': 0, 'n': 4800}
{'sa': 16518, 'k': 0.0113158, 'nc': 22690, 'it': 0, 'n': 4900}
{'sa': 16854, 'k': 0.0113158, 'nc': 23154, 'it': 0, 'n': 5000}
{'sa': 17162, 'k': 0.0113158, 'nc': 23646, 'it': 0, 'n': 5100}
{'sa': 17494, 'k': 0.0113158, 'nc': 24114, 'it': 0, 'n': 5200}
{'sa': 17852, 'k': 0.0113158, 'nc': 24556, 'it': 0, 'n': 5300}
{'sa': 18182, 'k': 0.0113158, 'nc': 25026, 'it': 0, 'n': 5400}
{'sa': 18498, 'k': 0.0113158, 'nc': 25510, 'it': 0, 'n': 5500}
{'sa': 18836, 'k': 0.0113158, 'nc': 25972, 'it': 0, 'n': 5600}
{'sa': 19182, 'k': 0.0113158, 'nc': 26426, 'it': 0, 'n': 5700}
{'sa': 19544, 'k': 0.0113158, 'nc': 26864, 'it': 0, 'n': 5800}
{'sa': 19948, 'k': 0.0113158, 'nc': 27260, 'it': 0, 'n': 5900}
{'sa': 20304, 'k': 0.0113158, 'nc': 27704, 'it': 0, 'n': 6000}
{'sa': 20638, 'k': 0.0113158, 'nc': 28170, 'it': 0, 'n': 6100}
{'sa': 20988, 'k': 0.0113158, 'nc': 28620, 'it': 0, 'n': 6200}
{'sa': 21336, 'k': 0.0113158, 'nc': 29072, 'it': 0, 'n': 6300}
{'sa': 21742, 'k': 0.0113158, 'nc': 29466, 'it': 0, 'n': 6400}
{'sa': 22034, 'k': 0.0113158, 'nc': 29974, 'it': 0, 'n': 6500}
{'sa': 22414, 'k': 0.0113158, 'nc': 30394, 'it': 0, 'n': 6600}
{'sa': 22786, 'k': 0.0113158, 'nc': 30822, 'it': 0, 'n': 6700}
{'sa': 23070, 'k': 0.0113158, 'nc': 31338, 'it': 0, 'n': 6800}
{'sa': 23420, 'k': 0.0113158, 'nc': 31788, 'it': 0, 'n': 6900}
{'sa': 23772, 'k': 0.0113158, 'nc': 32236, 'it': 0, 'n': 7000}
{'sa': 24092, 'k': 0.0113158, 'nc': 32716, 'it': 0, 'n': 7100}
{'sa': 24472, 'k': 0.0113158, 'nc': 33136, 'it': 0, 'n': 7200}
{'sa': 24820, 'k': 0.0113158, 'nc': 33588, 'it': 0, 'n': 7300}
{'sa': 25168, 'k': 0.0113158, 'nc': 34040, 'it': 0, 'n': 7400}
{'sa': 25492, 'k': 0.0113158, 'nc': 34516, 'it': 0, 'n': 7500}
{'sa': 25830, 'k': 0.0113158, 'nc': 34978, 'it': 0, 'n': 7600}
{'sa': 26156, 'k': 0.0113158, 'nc': 35452, 'it': 0, 'n': 7700}
{'sa': 26534, 'k': 0.0113158, 'nc': 35874, 'it': 0, 'n': 7800}
{'sa': 26854, 'k': 0.0113158, 'nc': 36354, 'it': 0, 'n': 7900}
{'sa': 27122, 'k': 0.0113158, 'nc': 36886, 'it': 0, 'n': 8000}
{'sa': 27454, 'k': 0.0113158, 'nc': 37354, 'it': 0, 'n': 8100}
{'sa': 27878, 'k': 0.0113158, 'nc': 37730, 'it': 0, 'n': 8200}
{'sa': 28240, 'k': 0.0113158, 'nc': 38168, 'it': 0, 'n': 8300}
{'sa': 28606, 'k': 0.0113158, 'nc': 38602, 'it': 0, 'n': 8400}
{'sa': 29010, 'k': 0.0113158, 'nc': 38998, 'it': 0, 'n': 8500}
{'sa': 29338, 'k': 0.0113158, 'nc': 39470, 'it': 0, 'n': 8600}
{'sa': 29598, 'k': 0.0113158, 'nc': 40010, 'it': 0, 'n': 8700}
{'sa': 29966, 'k': 0.0113158, 'nc': 40442, 'it': 0, 'n': 8800}
{'sa': 30308, 'k': 0.0113158, 'nc': 40900, 'it': 0, 'n': 8900}
{'sa': 30668, 'k': 0.0113158, 'nc': 41340, 'it': 0, 'n': 9000}
{'sa': 30978, 'k': 0.0113158, 'nc': 41830, 'it': 0, 'n': 9100}
{'sa': 31338, 'k': 0.0113158, 'nc': 42270, 'it': 0, 'n': 9200}
{'sa': 31692, 'k': 0.0113158, 'nc': 42716, 'it': 0, 'n': 9300}
{'sa': 32040, 'k': 0.0113158, 'nc': 43168, 'it': 0, 'n': 9400}
{'sa': 32402, 'k': 0.0113158, 'nc': 43606, 'it': 0, 'n': 9500}
{'sa': 32748, 'k': 0.0113158, 'nc': 44060, 'it': 0, 'n': 9600}
{'sa': 33142, 'k': 0.0113158, 'nc': 44466, 'it': 0, 'n': 9700}
{'sa': 33488, 'k': 0.0113158, 'nc': 44920, 'it': 0, 'n': 9800}
{'sa': 33810, 'k': 0.0113158, 'nc': 45398, 'it': 0, 'n': 9900}
{'sa': 34146, 'k': 0.0113158, 'nc': 45862, 'it': 0, 'n': 10000}
{'sa': 34452, 'k': 0.0113158, 'nc': 46356, 'it': 0, 'n': 10100}
{'sa': 34756, 'k': 0.0113158, 'nc': 46852, 'it': 0, 'n': 10200}
{'sa': 35160, 'k': 0.0113158, 'nc': 47248, 'it': 0, 'n': 10300}
{'sa': 35508, 'k': 0.0113158, 'nc': 47700, 'it': 0, 'n': 10400}
{'sa': 35870, 'k': 0.0113158, 'nc': 48138, 'it': 0, 'n': 10500}
{'sa': 36242, 'k': 0.0113158, 'nc': 48566, 'it': 0, 'n': 10600}
{'sa': 36584, 'k': 0.0113158, 'nc': 49024, 'it': 0, 'n': 10700}
{'sa': 36930, 'k': 0.0113158, 'nc': 49478, 'it': 0, 'n': 10800}
{'sa': 37256, 'k': 0.0113158, 'nc': 49952, 'it': 0, 'n': 10900}
{'sa': 37594, 'k': 0.0113158, 'nc': 50414, 'it': 0, 'n': 11000}
{'sa': 37944, 'k': 0.0113158, 'nc': 50864, 'it': 0, 'n': 11100}
{'sa': 38322, 'k': 0.0113158, 'nc': 51286, 'it': 0, 'n': 11200}
{'sa': 38630, 'k': 0.0113158, 'nc': 51778, 'it': 0, 'n': 11300}
{'sa': 38996, 'k': 0.0113158, 'nc': 52212, 'it': 0, 'n': 11400}
{'sa': 39356, 'k': 0.0113158, 'nc': 52652, 'it': 0, 'n': 11500}
{'sa': 39722, 'k': 0.0113158, 'nc': 53086, 'it': 0, 'n': 11600}
{'sa': 40050, 'k': 0.0113158, 'nc': 53558, 'it': 0, 'n': 11700}
{'sa': 40444, 'k': 0.0113158, 'nc': 53964, 'it': 0, 'n': 11800}
{'sa': 40746, 'k': 0.0113158, 'nc': 54462, 'it': 0, 'n': 11900}
{'sa': 41102, 'k': 0.0113158, 'nc': 54906, 'it': 0, 'n': 12000}
{'sa': 41420, 'k': 0.0113158, 'nc': 55388, 'it': 0, 'n': 12100}
{'sa': 41714, 'k': 0.0113158, 'nc': 55894, 'it': 0, 'n': 12200}
{'sa': 42056, 'k': 0.0113158, 'nc': 56352, 'it': 0, 'n': 12300}
{'sa': 42418, 'k': 0.0113158, 'nc': 56790, 'it': 0, 'n': 12400}
{'sa': 42694, 'k': 0.0113158, 'nc': 57314, 'it': 0, 'n': 12500}
{'sa': 43062, 'k': 0.0113158, 'nc': 57746, 'it': 0, 'n': 12600}
{'sa': 43398, 'k': 0.0113158, 'nc': 58210, 'it': 0, 'n': 12700}
{'sa': 43744, 'k': 0.0113158, 'nc': 58664, 'it': 0, 'n': 12800}
{'sa': 44096, 'k': 0.0113158, 'nc': 59112, 'it': 0, 'n': 12900}
{'sa': 44472, 'k': 0.0113158, 'nc': 59536, 'it': 0, 'n': 13000}
{'sa': 44828, 'k': 0.0113158, 'nc': 59980, 'it': 0, 'n': 13100}
{'sa': 45138, 'k': 0.0113158, 'nc': 60470, 'it': 0, 'n': 13200}
{'sa': 45462, 'k': 0.0113158, 'nc': 60946, 'it': 0, 'n': 13300}
{'sa': 45782, 'k': 0.0113158, 'nc': 61426, 'it': 0, 'n': 13400}
{'sa': 46108, 'k': 0.0113158, 'nc': 61900, 'it': 0, 'n': 13500}
{'sa': 46492, 'k': 0.0113158, 'nc': 62316, 'it': 0, 'n': 13600}
{'sa': 46822, 'k': 0.0113158, 'nc': 62786, 'it': 0, 'n': 13700}
{'sa': 47128, 'k': 0.0113158, 'nc': 63280, 'it': 0, 'n': 13800}
{'sa': 47460, 'k': 0.0113158, 'nc': 63748, 'it': 0, 'n': 13900}
{'sa': 47820, 'k': 0.0113158, 'nc': 64188, 'it': 0, 'n': 14000}
{'sa': 48164, 'k': 0.0113158, 'nc': 64644, 'it': 0, 'n': 14100}
{'sa': 48508, 'k': 0.0113158, 'nc': 65100, 'it': 0, 'n': 14200}
{'sa': 48846, 'k': 0.0113158, 'nc': 65562, 'it': 0, 'n': 14300}
{'sa': 49208, 'k': 0.0113158, 'nc': 66000, 'it': 0, 'n': 14400}
{'sa': 49578, 'k': 0.0113158, 'nc': 66430, 'it': 0, 'n': 14500}
{'sa': 49930, 'k': 0.0113158, 'nc': 66878, 'it': 0, 'n': 14600}
{'sa': 50246, 'k': 0.0113158, 'nc': 67362, 'it': 0, 'n': 14700}
{'sa': 50584, 'k': 0.0113158, 'nc': 67824, 'it': 0, 'n': 14800}
{'sa': 50942, 'k': 0.0113158, 'nc': 68266, 'it': 0, 'n': 14900}
{'sa': 51306, 'k': 0.0113158, 'nc': 68702, 'it': 0, 'n': 15000}
{'sa': 51668, 'k': 0.0113158, 'nc': 69140, 'it': 0, 'n': 15100}
{'sa': 52032, 'k': 0.0113158, 'nc': 69576, 'it': 0, 'n': 15200}
{'sa': 52414, 'k': 0.0113158, 'nc': 69994, 'it': 0, 'n': 15300}
{'sa': 52744, 'k': 0.0113158, 'nc': 70464, 'it': 0, 'n': 15400}
{'sa': 53098, 'k': 0.0113158, 'nc': 70910, 'it': 0, 'n': 15500}
{'sa': 53416, 'k': 0.0113158, 'nc': 71392, 'it': 0, 'n': 15600}
{'sa': 53774, 'k': 0.0113158, 'nc': 71834, 'it': 0, 'n': 15700}
{'sa': 54154, 'k': 0.0113158, 'nc': 72254, 'it': 0, 'n': 15800}
{'sa': 54458, 'k': 0.0113158, 'nc': 72750, 'it': 0, 'n': 15900}
